[run 1/994] poly_d2_o2 point_000 war weights=(0.001,)
[run 50/994] poly_d2_o4 point_017 real_tanh_autodiff weights=(0.1, 1.0)
[run 51/994] poly_d2_o4 point_018 war weights=(0.1, 10.0)
[run 52/994] poly_d2_o4 point_018 real_tanh_autodiff weights=(0.1, 10.0)
[run 53/994] poly_d2_o4 point_019 war weights=(0.1, 100.0)
[run 54/994] poly_d2_o4 point_019 real_tanh_autodiff weights=(0.1, 100.0)
[run 55/994] poly_d2_o4 point_020 war weights=(0.1, 1000.0)
[run 56/994] poly_d2_o4 point_020 real_tanh_autodiff weights=(0.1, 1000.0)
[run 57/994] poly_d2_o4 point_021 war weights=(1.0, 0.001)
[run 58/994] poly_d2_o4 point_021 real_tanh_autodiff weights=(1.0, 0.001)
[run 59/994] poly_d2_o4 point_022 war weights=(1.0, 0.01)
[run 60/994] poly_d2_o4 point_022 real_tanh_autodiff weights=(1.0, 0.01)
[run 61/994] poly_d2_o4 point_023 war weights=(1.0, 0.1)
[run 62/994] poly_d2_o4 point_023 real_tanh_autodiff weights=(1.0, 0.1)
[run 63/994] poly_d2_o4 point_024 war weights=(1.0, 1.0)
[run 64/994] poly_d2_o4 point_024 real_tanh_autodiff weights=(1.0, 1.0)
[run 65/994] poly_d2_o4 point_025 war weights=(1.0, 10.0)
[run 66/994] poly_d2_o4 point_025 real_tanh_autodiff weights=(1.0, 10.0)
[run 67/994] poly_d2_o4 point_026 war weights=(1.0, 100.0)
[run 68/994] poly_d2_o4 point_026 real_tanh_autodiff weights=(1.0, 100.0)
[run 69/994] poly_d2_o4 point_027 war weights=(1.0, 1000.0)
[run 70/994] poly_d2_o4 point_027 real_tanh_autodiff weights=(1.0, 1000.0)
[run 71/994] poly_d2_o4 point_028 war weights=(10.0, 0.001)
[run 72/994] poly_d2_o4 point_028 real_tanh_autodiff weights=(10.0, 0.001)
[run 73/994] poly_d2_o4 point_029 war weights=(10.0, 0.01)
[run 74/994] poly_d2_o4 point_029 real_tanh_autodiff weights=(10.0, 0.01)
[run 75/994] poly_d2_o4 point_030 war weights=(10.0, 0.1)
[run 76/994] poly_d2_o4 point_030 real_tanh_autodiff weights=(10.0, 0.1)
[run 77/994] poly_d2_o4 point_031 war weights=(10.0, 1.0)
[run 78/994] poly_d2_o4 point_031 real_tanh_autodiff weights=(10.0, 1.0)
[run 79/994] poly_d2_o4 point_032 war weights=(10.0, 10.0)
[run 80/994] poly_d2_o4 point_032 real_tanh_autodiff weights=(10.0, 10.0)
[run 81/994] poly_d2_o4 point_033 war weights=(10.0, 100.0)
[run 82/994] poly_d2_o4 point_033 real_tanh_autodiff weights=(10.0, 100.0)
[run 83/994] poly_d2_o4 point_034 war weights=(10.0, 1000.0)
[run 84/994] poly_d2_o4 point_034 real_tanh_autodiff weights=(10.0, 1000.0)
[run 85/994] poly_d2_o4 point_035 war weights=(100.0, 0.001)
[run 86/994] poly_d2_o4 point_035 real_tanh_autodiff weights=(100.0, 0.001)
[run 87/994] poly_d2_o4 point_036 war weights=(100.0, 0.01)
[run 88/994] poly_d2_o4 point_036 real_tanh_autodiff weights=(100.0, 0.01)
[run 89/994] poly_d2_o4 point_037 war weights=(100.0, 0.1)
[run 90/994] poly_d2_o4 point_037 real_tanh_autodiff weights=(100.0, 0.1)
[run 91/994] poly_d2_o4 point_038 war weights=(100.0, 1.0)
[run 92/994] poly_d2_o4 point_038 real_tanh_autodiff weights=(100.0, 1.0)
[run 93/994] poly_d2_o4 point_039 war weights=(100.0, 10.0)
[run 94/994] poly_d2_o4 point_039 real_tanh_autodiff weights=(100.0, 10.0)
[run 95/994] poly_d2_o4 point_040 war weights=(100.0, 100.0)
[run 96/994] poly_d2_o4 point_040 real_tanh_autodiff weights=(100.0, 100.0)
[run 97/994] poly_d2_o4 point_041 war weights=(100.0, 1000.0)
[run 98/994] poly_d2_o4 point_041 real_tanh_autodiff weights=(100.0, 1000.0)
[run 99/994] poly_d2_o4 point_042 war weights=(1000.0, 0.001)
[run 100/994] poly_d2_o4 point_042 real_tanh_autodiff weights=(1000.0, 0.001)
[run 101/994] poly_d2_o4 point_043 war weights=(1000.0, 0.01)
[run 102/994] poly_d2_o4 point_043 real_tanh_autodiff weights=(1000.0, 0.01)
[run 103/994] poly_d2_o4 point_044 war weights=(1000.0, 0.1)
[run 104/994] poly_d2_o4 point_044 real_tanh_autodiff weights=(1000.0, 0.1)
[run 105/994] poly_d2_o4 point_045 war weights=(1000.0, 1.0)
[run 106/994] poly_d2_o4 point_045 real_tanh_autodiff weights=(1000.0, 1.0)
[run 107/994] poly_d2_o4 point_046 war weights=(1000.0, 10.0)
[run 108/994] poly_d2_o4 point_046 real_tanh_autodiff weights=(1000.0, 10.0)
[run 109/994] poly_d2_o4 point_047 war weights=(1000.0, 100.0)
[run 110/994] poly_d2_o4 point_047 real_tanh_autodiff weights=(1000.0, 100.0)
[run 111/994] poly_d2_o4 point_048 war weights=(1000.0, 1000.0)
[run 112/994] poly_d2_o4 point_048 real_tanh_autodiff weights=(1000.0, 1000.0)
[run 113/994] cahn_hilliard_o4 point_000 war weights=(0.001, 0.001)
[run 114/994] cahn_hilliard_o4 point_000 real_tanh_autodiff weights=(0.001, 0.001)
[run 115/994] cahn_hilliard_o4 point_001 war weights=(0.001, 0.01)
[run 116/994] cahn_hilliard_o4 point_001 real_tanh_autodiff weights=(0.001, 0.01)
[run 117/994] cahn_hilliard_o4 point_002 war weights=(0.001, 0.1)
[run 118/994] cahn_hilliard_o4 point_002 real_tanh_autodiff weights=(0.001, 0.1)
[run 119/994] cahn_hilliard_o4 point_003 war weights=(0.001, 1.0)
[run 120/994] cahn_hilliard_o4 point_003 real_tanh_autodiff weights=(0.001, 1.0)
[run 121/994] cahn_hilliard_o4 point_004 war weights=(0.001, 10.0)
[run 122/994] cahn_hilliard_o4 point_004 real_tanh_autodiff weights=(0.001, 10.0)
[run 123/994] cahn_hilliard_o4 point_005 war weights=(0.001, 100.0)
[run 124/994] cahn_hilliard_o4 point_005 real_tanh_autodiff weights=(0.001, 100.0)
[run 125/994] cahn_hilliard_o4 point_006 war weights=(0.001, 1000.0)
[run 126/994] cahn_hilliard_o4 point_006 real_tanh_autodiff weights=(0.001, 1000.0)
[run 127/994] cahn_hilliard_o4 point_007 war weights=(0.01, 0.001)
[run 128/994] cahn_hilliard_o4 point_007 real_tanh_autodiff weights=(0.01, 0.001)
[run 129/994] cahn_hilliard_o4 point_008 war weights=(0.01, 0.01)
[run 130/994] cahn_hilliard_o4 point_008 real_tanh_autodiff weights=(0.01, 0.01)
[run 131/994] cahn_hilliard_o4 point_009 war weights=(0.01, 0.1)
[run 132/994] cahn_hilliard_o4 point_009 real_tanh_autodiff weights=(0.01, 0.1)
[run 133/994] cahn_hilliard_o4 point_010 war weights=(0.01, 1.0)
[run 134/994] cahn_hilliard_o4 point_010 real_tanh_autodiff weights=(0.01, 1.0)
[run 135/994] cahn_hilliard_o4 point_011 war weights=(0.01, 10.0)
[run 136/994] cahn_hilliard_o4 point_011 real_tanh_autodiff weights=(0.01, 10.0)
[run 137/994] cahn_hilliard_o4 point_012 war weights=(0.01, 100.0)
[run 138/994] cahn_hilliard_o4 point_012 real_tanh_autodiff weights=(0.01, 100.0)
[run 139/994] cahn_hilliard_o4 point_013 war weights=(0.01, 1000.0)
[run 140/994] cahn_hilliard_o4 point_013 real_tanh_autodiff weights=(0.01, 1000.0)
[run 141/994] cahn_hilliard_o4 point_014 war weights=(0.1, 0.001)
[run 142/994] cahn_hilliard_o4 point_014 real_tanh_autodiff weights=(0.1, 0.001)
[run 143/994] cahn_hilliard_o4 point_015 war weights=(0.1, 0.01)
[run 144/994] cahn_hilliard_o4 point_015 real_tanh_autodiff weights=(0.1, 0.01)
[run 145/994] cahn_hilliard_o4 point_016 war weights=(0.1, 0.1)
[run 146/994] cahn_hilliard_o4 point_016 real_tanh_autodiff weights=(0.1, 0.1)
[run 147/994] cahn_hilliard_o4 point_017 war weights=(0.1, 1.0)
[run 148/994] cahn_hilliard_o4 point_017 real_tanh_autodiff weights=(0.1, 1.0)
[run 149/994] cahn_hilliard_o4 point_018 war weights=(0.1, 10.0)
[run 150/994] cahn_hilliard_o4 point_018 real_tanh_autodiff weights=(0.1, 10.0)
[run 151/994] cahn_hilliard_o4 point_019 war weights=(0.1, 100.0)
[run 152/994] cahn_hilliard_o4 point_019 real_tanh_autodiff weights=(0.1, 100.0)
[run 153/994] cahn_hilliard_o4 point_020 war weights=(0.1, 1000.0)
[run 154/994] cahn_hilliard_o4 point_020 real_tanh_autodiff weights=(0.1, 1000.0)
[run 155/994] cahn_hilliard_o4 point_021 war weights=(1.0, 0.001)
[run 156/994] cahn_hilliard_o4 point_021 real_tanh_autodiff weights=(1.0, 0.001)
[run 157/994] cahn_hilliard_o4 point_022 war weights=(1.0, 0.01)
[run 158/994] cahn_hilliard_o4 point_022 real_tanh_autodiff weights=(1.0, 0.01)
[run 159/994] cahn_hilliard_o4 point_023 war weights=(1.0, 0.1)
[run 160/994] cahn_hilliard_o4 point_023 real_tanh_autodiff weights=(1.0, 0.1)
[run 161/994] cahn_hilliard_o4 point_024 war weights=(1.0, 1.0)
[run 162/994] cahn_hilliard_o4 point_024 real_tanh_autodiff weights=(1.0, 1.0)
[run 163/994] cahn_hilliard_o4 point_025 war weights=(1.0, 10.0)
[run 164/994] cahn_hilliard_o4 point_025 real_tanh_autodiff weights=(1.0, 10.0)
[run 165/994] cahn_hilliard_o4 point_026 war weights=(1.0, 100.0)
[run 166/994] cahn_hilliard_o4 point_026 real_tanh_autodiff weights=(1.0, 100.0)
[run 167/994] cahn_hilliard_o4 point_027 war weights=(1.0, 1000.0)
[run 168/994] cahn_hilliard_o4 point_027 real_tanh_autodiff weights=(1.0, 1000.0)
[run 169/994] cahn_hilliard_o4 point_028 war weights=(10.0, 0.001)
[run 170/994] cahn_hilliard_o4 point_028 real_tanh_autodiff weights=(10.0, 0.001)
[run 171/994] cahn_hilliard_o4 point_029 war weights=(10.0, 0.01)
[run 172/994] cahn_hilliard_o4 point_029 real_tanh_autodiff weights=(10.0, 0.01)
[run 173/994] cahn_hilliard_o4 point_030 war weights=(10.0, 0.1)
[run 174/994] cahn_hilliard_o4 point_030 real_tanh_autodiff weights=(10.0, 0.1)
[run 175/994] cahn_hilliard_o4 point_031 war weights=(10.0, 1.0)
[run 176/994] cahn_hilliard_o4 point_031 real_tanh_autodiff weights=(10.0, 1.0)
[run 177/994] cahn_hilliard_o4 point_032 war weights=(10.0, 10.0)
[run 178/994] cahn_hilliard_o4 point_032 real_tanh_autodiff weights=(10.0, 10.0)
[run 179/994] cahn_hilliard_o4 point_033 war weights=(10.0, 100.0)
[run 180/994] cahn_hilliard_o4 point_033 real_tanh_autodiff weights=(10.0, 100.0)
[run 181/994] cahn_hilliard_o4 point_034 war weights=(10.0, 1000.0)
[run 182/994] cahn_hilliard_o4 point_034 real_tanh_autodiff weights=(10.0, 1000.0)
[run 183/994] cahn_hilliard_o4 point_035 war weights=(100.0, 0.001)
[run 184/994] cahn_hilliard_o4 point_035 real_tanh_autodiff weights=(100.0, 0.001)
[run 185/994] cahn_hilliard_o4 point_036 war weights=(100.0, 0.01)
[run 186/994] cahn_hilliard_o4 point_036 real_tanh_autodiff weights=(100.0, 0.01)
[run 187/994] cahn_hilliard_o4 point_037 war weights=(100.0, 0.1)
[run 188/994] cahn_hilliard_o4 point_037 real_tanh_autodiff weights=(100.0, 0.1)
[run 189/994] cahn_hilliard_o4 point_038 war weights=(100.0, 1.0)
[run 190/994] cahn_hilliard_o4 point_038 real_tanh_autodiff weights=(100.0, 1.0)
[run 191/994] cahn_hilliard_o4 point_039 war weights=(100.0, 10.0)
[run 192/994] cahn_hilliard_o4 point_039 real_tanh_autodiff weights=(100.0, 10.0)
[run 193/994] cahn_hilliard_o4 point_040 war weights=(100.0, 100.0)
[run 194/994] cahn_hilliard_o4 point_040 real_tanh_autodiff weights=(100.0, 100.0)
[run 195/994] cahn_hilliard_o4 point_041 war weights=(100.0, 1000.0)
[run 196/994] cahn_hilliard_o4 point_041 real_tanh_autodiff weights=(100.0, 1000.0)
[run 197/994] cahn_hilliard_o4 point_042 war weights=(1000.0, 0.001)
[run 198/994] cahn_hilliard_o4 point_042 real_tanh_autodiff weights=(1000.0, 0.001)
[run 199/994] cahn_hilliard_o4 point_043 war weights=(1000.0, 0.01)
[run 200/994] cahn_hilliard_o4 point_043 real_tanh_autodiff weights=(1000.0, 0.01)
[run 201/994] cahn_hilliard_o4 point_044 war weights=(1000.0, 0.1)
[run 202/994] cahn_hilliard_o4 point_044 real_tanh_autodiff weights=(1000.0, 0.1)
[run 203/994] cahn_hilliard_o4 point_045 war weights=(1000.0, 1.0)
[run 204/994] cahn_hilliard_o4 point_045 real_tanh_autodiff weights=(1000.0, 1.0)
[run 205/994] cahn_hilliard_o4 point_046 war weights=(1000.0, 10.0)
[run 206/994] cahn_hilliard_o4 point_046 real_tanh_autodiff weights=(1000.0, 10.0)
[run 207/994] cahn_hilliard_o4 point_047 war weights=(1000.0, 100.0)
[run 208/994] cahn_hilliard_o4 point_047 real_tanh_autodiff weights=(1000.0, 100.0)
[run 209/994] cahn_hilliard_o4 point_048 war weights=(1000.0, 1000.0)
[run 210/994] cahn_hilliard_o4 point_048 real_tanh_autodiff weights=(1000.0, 1000.0)
[run 211/994] cahn_hilliard_o6 point_000 war weights=(0.001, 0.001)
[run 212/994] cahn_hilliard_o6 point_000 real_tanh_autodiff weights=(0.001, 0.001)
[run 213/994] cahn_hilliard_o6 point_001 war weights=(0.001, 0.01)
[run 214/994] cahn_hilliard_o6 point_001 real_tanh_autodiff weights=(0.001, 0.01)
[run 215/994] cahn_hilliard_o6 point_002 war weights=(0.001, 0.1)
[run 216/994] cahn_hilliard_o6 point_002 real_tanh_autodiff weights=(0.001, 0.1)
[run 217/994] cahn_hilliard_o6 point_003 war weights=(0.001, 1.0)
[run 218/994] cahn_hilliard_o6 point_003 real_tanh_autodiff weights=(0.001, 1.0)
[run 219/994] cahn_hilliard_o6 point_004 war weights=(0.001, 10.0)
[run 220/994] cahn_hilliard_o6 point_004 real_tanh_autodiff weights=(0.001, 10.0)
[run 221/994] cahn_hilliard_o6 point_005 war weights=(0.001, 100.0)
[run 222/994] cahn_hilliard_o6 point_005 real_tanh_autodiff weights=(0.001, 100.0)
[run 223/994] cahn_hilliard_o6 point_006 war weights=(0.001, 1000.0)
[run 224/994] cahn_hilliard_o6 point_006 real_tanh_autodiff weights=(0.001, 1000.0)
[run 225/994] cahn_hilliard_o6 point_007 war weights=(0.01, 0.001)
[run 226/994] cahn_hilliard_o6 point_007 real_tanh_autodiff weights=(0.01, 0.001)
[run 227/994] cahn_hilliard_o6 point_008 war weights=(0.01, 0.01)
[run 228/994] cahn_hilliard_o6 point_008 real_tanh_autodiff weights=(0.01, 0.01)
[run 229/994] cahn_hilliard_o6 point_009 war weights=(0.01, 0.1)
[run 230/994] cahn_hilliard_o6 point_009 real_tanh_autodiff weights=(0.01, 0.1)
[run 231/994] cahn_hilliard_o6 point_010 war weights=(0.01, 1.0)
[run 232/994] cahn_hilliard_o6 point_010 real_tanh_autodiff weights=(0.01, 1.0)
[run 233/994] cahn_hilliard_o6 point_011 war weights=(0.01, 10.0)
[run 234/994] cahn_hilliard_o6 point_011 real_tanh_autodiff weights=(0.01, 10.0)
[run 235/994] cahn_hilliard_o6 point_012 war weights=(0.01, 100.0)
[run 236/994] cahn_hilliard_o6 point_012 real_tanh_autodiff weights=(0.01, 100.0)
[run 237/994] cahn_hilliard_o6 point_013 war weights=(0.01, 1000.0)
[run 238/994] cahn_hilliard_o6 point_013 real_tanh_autodiff weights=(0.01, 1000.0)
[run 239/994] cahn_hilliard_o6 point_014 war weights=(0.1, 0.001)
[run 240/994] cahn_hilliard_o6 point_014 real_tanh_autodiff weights=(0.1, 0.001)
[run 241/994] cahn_hilliard_o6 point_015 war weights=(0.1, 0.01)
[run 242/994] cahn_hilliard_o6 point_015 real_tanh_autodiff weights=(0.1, 0.01)
[run 243/994] cahn_hilliard_o6 point_016 war weights=(0.1, 0.1)
[run 244/994] cahn_hilliard_o6 point_016 real_tanh_autodiff weights=(0.1, 0.1)
[run 245/994] cahn_hilliard_o6 point_017 war weights=(0.1, 1.0)
[run 246/994] cahn_hilliard_o6 point_017 real_tanh_autodiff weights=(0.1, 1.0)
[run 247/994] cahn_hilliard_o6 point_018 war weights=(0.1, 10.0)
[run 248/994] cahn_hilliard_o6 point_018 real_tanh_autodiff weights=(0.1, 10.0)
[run 249/994] cahn_hilliard_o6 point_019 war weights=(0.1, 100.0)
[run 250/994] cahn_hilliard_o6 point_019 real_tanh_autodiff weights=(0.1, 100.0)
[run 251/994] cahn_hilliard_o6 point_020 war weights=(0.1, 1000.0)
[run 252/994] cahn_hilliard_o6 point_020 real_tanh_autodiff weights=(0.1, 1000.0)
[run 253/994] cahn_hilliard_o6 point_021 war weights=(1.0, 0.001)
[run 254/994] cahn_hilliard_o6 point_021 real_tanh_autodiff weights=(1.0, 0.001)
[run 255/994] cahn_hilliard_o6 point_022 war weights=(1.0, 0.01)
[run 256/994] cahn_hilliard_o6 point_022 real_tanh_autodiff weights=(1.0, 0.01)
[run 257/994] cahn_hilliard_o6 point_023 war weights=(1.0, 0.1)
[run 258/994] cahn_hilliard_o6 point_023 real_tanh_autodiff weights=(1.0, 0.1)
[run 259/994] cahn_hilliard_o6 point_024 war weights=(1.0, 1.0)
[run 260/994] cahn_hilliard_o6 point_024 real_tanh_autodiff weights=(1.0, 1.0)
[run 261/994] cahn_hilliard_o6 point_025 war weights=(1.0, 10.0)
[run 262/994] cahn_hilliard_o6 point_025 real_tanh_autodiff weights=(1.0, 10.0)
[run 263/994] cahn_hilliard_o6 point_026 war weights=(1.0, 100.0)
[run 264/994] cahn_hilliard_o6 point_026 real_tanh_autodiff weights=(1.0, 100.0)
[run 265/994] cahn_hilliard_o6 point_027 war weights=(1.0, 1000.0)
[run 266/994] cahn_hilliard_o6 point_027 real_tanh_autodiff weights=(1.0, 1000.0)
[run 267/994] cahn_hilliard_o6 point_028 war weights=(10.0, 0.001)
[run 268/994] cahn_hilliard_o6 point_028 real_tanh_autodiff weights=(10.0, 0.001)
[run 269/994] cahn_hilliard_o6 point_029 war weights=(10.0, 0.01)
[run 270/994] cahn_hilliard_o6 point_029 real_tanh_autodiff weights=(10.0, 0.01)
[run 271/994] cahn_hilliard_o6 point_030 war weights=(10.0, 0.1)
[run 272/994] cahn_hilliard_o6 point_030 real_tanh_autodiff weights=(10.0, 0.1)
[run 273/994] cahn_hilliard_o6 point_031 war weights=(10.0, 1.0)
[run 274/994] cahn_hilliard_o6 point_031 real_tanh_autodiff weights=(10.0, 1.0)
[run 275/994] cahn_hilliard_o6 point_032 war weights=(10.0, 10.0)
[run 276/994] cahn_hilliard_o6 point_032 real_tanh_autodiff weights=(10.0, 10.0)
[run 277/994] cahn_hilliard_o6 point_033 war weights=(10.0, 100.0)
[run 278/994] cahn_hilliard_o6 point_033 real_tanh_autodiff weights=(10.0, 100.0)
[run 279/994] cahn_hilliard_o6 point_034 war weights=(10.0, 1000.0)
[run 280/994] cahn_hilliard_o6 point_034 real_tanh_autodiff weights=(10.0, 1000.0)
[run 281/994] cahn_hilliard_o6 point_035 war weights=(100.0, 0.001)
[run 282/994] cahn_hilliard_o6 point_035 real_tanh_autodiff weights=(100.0, 0.001)
[run 283/994] cahn_hilliard_o6 point_036 war weights=(100.0, 0.01)
[run 284/994] cahn_hilliard_o6 point_036 real_tanh_autodiff weights=(100.0, 0.01)
[run 285/994] cahn_hilliard_o6 point_037 war weights=(100.0, 0.1)
[run 286/994] cahn_hilliard_o6 point_037 real_tanh_autodiff weights=(100.0, 0.1)
[run 287/994] cahn_hilliard_o6 point_038 war weights=(100.0, 1.0)
[run 288/994] cahn_hilliard_o6 point_038 real_tanh_autodiff weights=(100.0, 1.0)
[run 289/994] cahn_hilliard_o6 point_039 war weights=(100.0, 10.0)
[run 290/994] cahn_hilliard_o6 point_039 real_tanh_autodiff weights=(100.0, 10.0)
[run 291/994] cahn_hilliard_o6 point_040 war weights=(100.0, 100.0)
[run 292/994] cahn_hilliard_o6 point_040 real_tanh_autodiff weights=(100.0, 100.0)
[run 293/994] cahn_hilliard_o6 point_041 war weights=(100.0, 1000.0)
[run 294/994] cahn_hilliard_o6 point_041 real_tanh_autodiff weights=(100.0, 1000.0)
[run 295/994] cahn_hilliard_o6 point_042 war weights=(1000.0, 0.001)
[run 296/994] cahn_hilliard_o6 point_042 real_tanh_autodiff weights=(1000.0, 0.001)
[run 297/994] cahn_hilliard_o6 point_043 war weights=(1000.0, 0.01)
[run 298/994] cahn_hilliard_o6 point_043 real_tanh_autodiff weights=(1000.0, 0.01)
[run 299/994] cahn_hilliard_o6 point_044 war weights=(1000.0, 0.1)
[run 300/994] cahn_hilliard_o6 point_044 real_tanh_autodiff weights=(1000.0, 0.1)
[run 301/994] cahn_hilliard_o6 point_045 war weights=(1000.0, 1.0)
[run 302/994] cahn_hilliard_o6 point_045 real_tanh_autodiff weights=(1000.0, 1.0)
[run 303/994] cahn_hilliard_o6 point_046 war weights=(1000.0, 10.0)
[run 304/994] cahn_hilliard_o6 point_046 real_tanh_autodiff weights=(1000.0, 10.0)
[run 305/994] cahn_hilliard_o6 point_047 war weights=(1000.0, 100.0)
[run 306/994] cahn_hilliard_o6 point_047 real_tanh_autodiff weights=(1000.0, 100.0)
[run 307/994] cahn_hilliard_o6 point_048 war weights=(1000.0, 1000.0)
[run 308/994] cahn_hilliard_o6 point_048 real_tanh_autodiff weights=(1000.0, 1000.0)
[run 309/994] poly_d2_o6 point_000 war weights=(0.001, 0.001, 0.001)
[run 310/994] poly_d2_o6 point_000 real_tanh_autodiff weights=(0.001, 0.001, 0.001)
[run 311/994] poly_d2_o6 point_001 war weights=(0.001, 0.001, 0.01)
[run 312/994] poly_d2_o6 point_001 real_tanh_autodiff weights=(0.001, 0.001, 0.01)
[run 313/994] poly_d2_o6 point_002 war weights=(0.001, 0.001, 0.1)
[run 314/994] poly_d2_o6 point_002 real_tanh_autodiff weights=(0.001, 0.001, 0.1)
[run 314/994] poly_d2_o6 point_002 real_tanh_autodiff weights=(0.001, 0.001, 0.1)
[run 315/994] poly_d2_o6 point_003 war weights=(0.001, 0.001, 1.0)
[run 316/994] poly_d2_o6 point_003 real_tanh_autodiff weights=(0.001, 0.001, 1.0)
[run 317/994] poly_d2_o6 point_004 war weights=(0.001, 0.001, 10.0)
[run 318/994] poly_d2_o6 point_004 real_tanh_autodiff weights=(0.001, 0.001, 10.0)
[run 319/994] poly_d2_o6 point_005 war weights=(0.001, 0.001, 100.0)
[run 320/994] poly_d2_o6 point_005 real_tanh_autodiff weights=(0.001, 0.001, 100.0)
[run 321/994] poly_d2_o6 point_006 war weights=(0.001, 0.001, 1000.0)
[run 322/994] poly_d2_o6 point_006 real_tanh_autodiff weights=(0.001, 0.001, 1000.0)
[run 323/994] poly_d2_o6 point_007 war weights=(0.001, 0.01, 0.001)
[run 324/994] poly_d2_o6 point_007 real_tanh_autodiff weights=(0.001, 0.01, 0.001)
[run 325/994] poly_d2_o6 point_008 war weights=(0.001, 0.01, 0.01)
[run 326/994] poly_d2_o6 point_008 real_tanh_autodiff weights=(0.001, 0.01, 0.01)
[run 327/994] poly_d2_o6 point_009 war weights=(0.001, 0.01, 0.1)
[run 328/994] poly_d2_o6 point_009 real_tanh_autodiff weights=(0.001, 0.01, 0.1)
[run 329/994] poly_d2_o6 point_010 war weights=(0.001, 0.01, 1.0)
[run 330/994] poly_d2_o6 point_010 real_tanh_autodiff weights=(0.001, 0.01, 1.0)
[run 331/994] poly_d2_o6 point_011 war weights=(0.001, 0.01, 10.0)
[run 332/994] poly_d2_o6 point_011 real_tanh_autodiff weights=(0.001, 0.01, 10.0)
[run 333/994] poly_d2_o6 point_012 war weights=(0.001, 0.01, 100.0)
